,index,name,uri,site,hash,min,max,currency
131,132,Data scientist,https://krasnogorsk.hh.ru/vacancy/37247506?query=ML,hh.ru,954fb4f9ff7df0d504ecc32537e98d48d953a363,150000,,руб.
132,133,BigData developer (Scala),https://krasnogorsk.hh.ru/vacancy/37024317?query=ML,hh.ru,ee01cb3fd694542331b88f06144b56fcb5da2c15,,,
133,134,Business Development Manager - Amazon Web Services (AWS),https://krasnogorsk.hh.ru/vacancy/36874029?query=ML,hh.ru,36e74b1a8c1db822c26abb52572c4dcd51ab266f,,,
134,135,Data analyst / ML engineer (Аналитик данных),https://krasnogorsk.hh.ru/vacancy/37249404?query=ML,hh.ru,14704f45ed4b18b2709d53076043979b6c31691a,,,
135,136,Разработчик Python,https://krasnogorsk.hh.ru/vacancy/37143230?query=ML,hh.ru,5fb2aba9e0b67f2f4811d53f403a8b18f3273cf7,,,
136,137,Senior Data Scientist,https://krasnogorsk.hh.ru/vacancy/37233904?query=ML,hh.ru,798b779f8013e074af184809be2a73e590e68266,,,
137,138,Research Engineer for Image Processing [ML],https://krasnogorsk.hh.ru/vacancy/37223088?query=ML,hh.ru,286a5a53224419cc039c2265d66cdfb793a22231,,,
138,139,Engineer for 3D modeling [ML],https://krasnogorsk.hh.ru/vacancy/37223075?query=ML,hh.ru,259472dbe856de0016bab0574a5bf5709bb98f61,,,
139,140,Audio ML-Engineer (Speech processing),https://krasnogorsk.hh.ru/vacancy/37220277?query=ML,hh.ru,6ad854d9c692de167df3fe922d5d5c682f6e3950,,,
140,141,IOS-разработчик в команду Видео,https://krasnogorsk.hh.ru/vacancy/37213521?query=ML,hh.ru,8803b86672672ba8c4909fb9e855243d65d780d8,,,
141,142,Начальник управления разработки и внедрения AI/ML решений,https://krasnogorsk.hh.ru/vacancy/37197817?query=ML,hh.ru,3ae1976cfba32f99ff573f5f098281ad0b713a18,,,
142,143,Senior DevOps (Hadoop) Engineer,https://krasnogorsk.hh.ru/vacancy/37231225?query=ML,hh.ru,ae803bfa7a0b51b3734e11559443bc910c771459,,,
143,144,Middle testing engineer (Mobile),https://krasnogorsk.hh.ru/vacancy/37114858?query=ML,hh.ru,0093ae03e1375f91cf57a5e0988ade535f90f3cf,,,
